Comentário,Classificação
"Comentário","Classificação"
"os protótipos estão sem informações reais","SEM_CLASSIFICACAO"
"os protótipos também estão com telas com muitos detalhes","SEM_CLASSIFICACAO"
"a unfair advantage está colocada como uma proposta de valor. A unfair advantage é algo que funciona como barreira para que competidores não consigam copiar facilmente a sua solução. No seu caso pode ser um algoritmo proprietário de busca e recomendação de tratamentos.","SEM_CLASSIFICACAO"
"no caso da unfair advantage precisa tirar do jeito que está","SEM_CLASSIFICACAO"
"Uma outra métrica importante é  a quantidade de aquisições para trial por semana. Esses usuários podem ser adquiridos via landing page, entrevistas, etc","SEM_CLASSIFICACAO"
"é preciso ter uma métrica de taxa de crescimento de aquisição de trial. Exemplo: estamos crescendo 10% por semana no número de inscritos para testar o aplicativo quando estiver pronto","SEM_CLASSIFICACAO"
"No campo de receitas está aparecendo a receita vinda de clínicas e hospitais. As clínicas e hospitais não estão aparecendo como clientes no campo de segmentos de consumidores. Uma sugestão é criar um novo canvas com esses segmentos de clínicas e hospitais.","SEM_CLASSIFICACAO"
"Está faltando fazer a declaração de abertura no começo do pitch.","SEM_CLASSIFICACAO"
"mostrar que existem um mercado de lojas de roupas que estão utilizando o instagram como vitrine","SEM_CLASSIFICACAO"
"como a consumidora de roupas cadastra as medidas?","SEM_CLASSIFICACAO"
"Não demonstrar a solução como um conjunto de features mas contar a jornada de Fernanda utilizando a solução e resolvendo o seu problema.","SEM_CLASSIFICACAO"
"durante a jornada da consumidora o lojista não está aparecendo. Precisa inserir o lojista na estória.","SEM_CLASSIFICACAO"
"O lojista não possui página na web. Como a solução resolve o problema de vitrine de produtos?","SEM_CLASSIFICACAO"
"Qual o valor cobrado por clique?","SEM_CLASSIFICACAO"
"Como é feita a seleção das fotos que a consumidora irá escolher? Estas fotos precisam ser definidas com cuidado para serem úteis ao algoritmo de match","SEM_CLASSIFICACAO"
"por que utilizar o instagram é um problema?","SEM_CLASSIFICACAO"
"vocês podem deixar claro as deficiências do instagram","SEM_CLASSIFICACAO"
"vocês não deixaram claro que Fernanda não confia em fazer compras pela internet e por que?","SEM_CLASSIFICACAO"
"vocês podem substituir 97% seu estilo por algo mais amigável para o usuário","SEM_CLASSIFICACAO"
"vocês poderiam ter campanhas de coleta de medida como ferramenta de aquisição","SEM_CLASSIFICACAO"
"recomendações de tendência poderiam apresentar imagens","SEM_CLASSIFICACAO"
"a apresentação não estava preparada com antecedência","SEM_CLASSIFICACAO"
"As informações estatísticas vão ser úteis para o Roberto?","SEM_CLASSIFICACAO"
"não está claro o que o Roberto está comprando","SEM_CLASSIFICACAO"
"qual a estratégia de aquisição?","SEM_CLASSIFICACAO"
"por que está integrado ao facebook e não ao instagram?","SEM_CLASSIFICACAO"
"o começo da a impressão de que não existia venda de roupa pela internet","SEM_CLASSIFICACAO"
"não fazer a apresentação do pitch do zero toda vez","SEM_CLASSIFICACAO"
"na jornada de Roberto incluir o cadastro de roupas na plataforma","SEM_CLASSIFICACAO"
"não ficou claro que o serviço é uma ferramenta de marketing e não de e-commerce","SEM_CLASSIFICACAO"
